paper_id,p_comp,p_value
10.1016:j.jsams.2018.06.009,>,0.05
10.1016:j.jsams.2018.06.009,≤,0.05
10.1016:j.jsams.2018.06.009,=,0.01
10.1016:j.jsams.2018.06.009,<,0.05
10.1016:j.jsams.2018.06.009,=,0.18
10.1016:j.jsams.2018.06.009,=,0.44
10.1016:j.jsams.2018.06.009,≤,0.01
10.1016:j.jsams.2018.06.009,=,0.04
10.1016:j.jsams.2018.06.009,=,0.02
10.1016:j.jsams.2018.06.009,≤,0.003
10.1016:j.jsams.2018.06.009,=,0.18
10.1016:j.jsams.2018.06.009,=,0.11
10.1016:j.jsams.2018.06.009,=,0.01
10.1016:j.jsams.2018.06.009,=,0.001
10.1016:j.jsams.2018.06.009,=,0.057
10.1016:j.jsams.2018.06.009,=,0.44
10.1016:j.jsams.2018.06.009,≥,0.15
10.1016:j.jsams.2018.06.009,=,0.04
10.1016:j.jsams.2018.06.009,≥,0.14
10.1016:j.jsams.2018.06.009,=,0.74
10.1016:j.jsams.2018.06.009,=,0.07
10.1016:j.jsams.2018.06.009,>,0.23
10.1016:j.jsams.2018.06.009,≥,0.18
10.1016:j.jsams.2018.06.009,<,0.05
10.1016:j.jsams.2018.06.009,=,0.001
10.1016:j.jsams.2018.06.009,≤,0.01
10.1016:j.jsams.2018.06.009,=,0.05
10.1016:j.jsams.2018.06.009,=,0.06
10.1016:j.jsams.2018.07.009,=,0.445
10.1016:j.jsams.2018.07.009,=,0.069
10.1016:j.jsams.2018.07.009,=,0.264
10.1016:j.jsams.2018.07.009,=,0.015
10.1016:j.jsams.2018.07.009,=,0.059
10.1016:j.jsams.2018.07.009,=,0.003
10.1016:j.jsams.2018.07.009,<,0.001
10.1016:j.jsams.2018.07.009,=,0.01
10.1016:j.jsams.2018.07.009,=,0.715
10.1016:j.jsams.2018.07.009,=,0.571
10.1016:j.jsams.2018.07.009,=,0.003
10.1016:j.jsams.2018.07.009,=,0.002
10.1016:j.jsams.2018.07.009,=,0.445
10.1016:j.jsams.2018.07.009,=,0.069
10.1016:j.jsams.2018.07.009,=,0.264
10.1016:j.jsams.2018.07.009,=,0.015
10.1016:j.jsams.2018.07.009,=,0.215
10.1016:j.jsams.2018.07.009,=,0.019
10.1016:j.jsams.2018.07.009,=,0.059
10.1016:j.jsams.2018.07.009,=,0.003
10.1016:j.jsams.2018.07.009,=,0.037
10.1016:j.jsams.2018.07.009,=,0.801
10.1016:j.jsams.2018.07.009,=,0.031
10.1016:j.jsams.2018.07.009,=,0.005
10.1016:j.jsams.2018.07.009,=,0.004
10.1016:j.jsams.2018.07.009,=,0.052
10.1016:j.jsams.2018.07.009,=,0.021
10.1016:j.jsams.2018.07.009,=,0.003
10.1016:j.jsams.2018.07.009,=,0.002
10.1016:j.jsams.2018.07.009,=,0.143
10.1016:j.jsams.2018.07.009,=,0.715
10.1016:j.jsams.2018.07.009,=,0.571
10.1016:j.jsams.2018.07.009,=,0.189
10.1016:j.jsams.2018.07.009,=,0.193
10.1016:j.jsams.2018.07.009,=,0.276
10.1016:j.jsams.2018.07.009,=,0.979
10.1016:j.jsams.2018.07.009,=,0.069
10.1016:j.jsams.2018.07.009,=,0.037
10.1016:j.jsams.2018.07.009,<,0.05
10.1016:j.jsams.2018.07.009,<,0.05
10.1016:j.jsams.2018.07.009,<,0.05
10.1016:j.jsams.2018.07.009,<,0.05
10.1016:j.jsams.2018.09.225,=,0.431
10.1016:j.jsams.2018.09.225,=,0.874
10.1016:j.jsams.2018.09.225,<,0.013
10.1016:j.jsams.2018.09.225,=,0.04
10.1016:j.jsams.2018.09.225,=,0.033
10.1016:j.jsams.2018.09.225,=,0.552
10.1016:j.jsams.2018.09.225,=,0.395
